id,f,m_i,n_i,m_o,n_o,m_min,n_min
1,"rowSums(A)",m,n,1,m,2,NA
2,"colSums(A)",m,n,1,n,2,NA
3,"rowMeans(A)",m,n,m,1,NA,NA
4,"colMeans(A)",m,n,1,n,2,NA
5,"nrow(A)",m,n,1,1,2,NA
6,"ncol(A)",m,n,1,1,2,NA
7,"cor(A)",m,n,n,n,2,NA
8,"det(A)",m,m,1,1,2,NA
9,"diag(A)",m,n,1,n,2,NA
10,"t(A)",m,n,n,m,NA,NA
11,"is.na(A)",m,n,m,n,NA,NA
12,"!is.na(A)",m,n,m,n,NA,NA
13,"A==0",m,n,m,n,NA,NA
14,"A!=0",m,n,m,n,NA,NA
15,"A<=0",m,n,m,n,NA,NA
16,"A>=0",m,n,m,n,NA,NA
17,"A<0",m,n,m,n,NA,NA
18,"A>0",m,n,m,n,NA,NA
19,"A==1",m,n,m,n,NA,NA
20,"A!=1",m,n,m,n,NA,NA
21,"A<=1",m,n,m,n,NA,NA
22,"A>=1",m,n,m,n,NA,NA
23,"A<1",m,n,m,n,NA,NA
24,"A>1",m,n,m,n,NA,NA
25,"A*A",m,n,m,n,NA,NA
26,"apply(A,1,rev)",m,n,m,n,2,NA
27,"apply(A,2,rev)",m,n,m,n,2,NA
28,"as.table(A)",m,n,m,m,NA,NA
29,"cbind(A,A)",m,n,m,n*2,NA,NA
29,"rbind(A,A)",m,n,m*2,n,NA,NA
30,"length(A)",m,n,1,1,NA,NA
31,"max(A)",m,n,1,1,NA,NA
32,"min(A)",m,n,1,1,NA,NA
33,"mean(A)",m,n,1,1,NA,NA